#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458309751582608558e+06 1.408125811013082185e+01 5.428681023790647014e-02
2.458309762208695523e+06 1.407030583173928306e+01 5.428681023790647014e-02
2.458309772834782489e+06 1.405923801807685969e+01 5.428681023790647014e-02
2.458309783460869454e+06 1.404805229892220453e+01 5.428681023790647014e-02
2.458309794086956419e+06 1.403674623111048803e+01 5.428681023790647014e-02
2.458309804713043384e+06 1.402531729555132145e+01 5.428681023790647014e-02
2.458309815339130349e+06 1.401376289409515508e+01 5.428681023790647014e-02
2.458309825965217315e+06 1.400208034623902442e+01 5.428681023790647014e-02
2.458309836591304280e+06 1.399026688566185683e+01 5.428681023790647014e-02
2.458309847217391245e+06 1.397831965657883657e+01 5.428681023790647014e-02
2.458309857843478210e+06 1.396623570990363739e+01 5.428681023790647014e-02
2.458309868469565175e+06 1.395401199920648949e+01 5.428681023790648402e-02
2.458309879095652141e+06 1.394164537645520241e+01 5.428681023790647014e-02
2.458309889721739106e+06 1.392913258752535732e+01 5.428681023790647014e-02
2.458309900347826071e+06 1.391647026746480265e+01 5.428681023790647014e-02
2.458309910973913036e+06 1.390365493549661302e+01 5.428681023790647014e-02
2.458309921600000001e+06 1.389068298974339655e+01 5.428681023790647014e-02
2.458309932226086967e+06 1.387755070165460936e+01 5.428681023790647014e-02
2.458309942852173932e+06 1.386425421011716352e+01 5.428681023790647014e-02
2.458309953478260897e+06 1.385078951522811153e+01 5.428681023790647014e-02
2.458309964104347862e+06 1.383715247170659879e+01 5.428681023790647014e-02
2.458309974730434828e+06 1.382333878192050136e+01 5.428681023790647014e-02
2.458309985356521327e+06 1.380934398911863070e+01 5.428681023790647014e-02
2.458309995982608292e+06 1.379516346714432729e+01 5.428681023790647014e-02
2.458310006608695257e+06 1.378079241581852799e+01 5.428681023790647014e-02
2.458310017234782223e+06 1.376622584969436502e+01 5.428681023790647014e-02
2.458310027860869188e+06 1.375145858932623177e+01 5.428681023790647014e-02
2.458310038486956153e+06 1.373648525135121368e+01 5.428681023790648402e-02
2.458310049113043118e+06 1.372130023795063636e+01 5.428681023790647014e-02
2.458310059739130083e+06 1.370589772564679976e+01 5.428681023790647014e-02
2.458310070365217049e+06 1.369027165338650676e+01 5.428681023790647014e-02
2.458310080991304014e+06 1.367441570985902644e+01 5.428681023790647014e-02
2.458310091617390979e+06 1.365832331999208549e+01 5.428681023790647014e-02
2.458310102243477944e+06 1.364198763056489128e+01 5.428681023790647014e-02
2.458310112869564909e+06 1.362540149487243646e+01 5.428681023790647014e-02
2.458310123495651875e+06 1.360855745637008241e+01 5.428681023790647014e-02
2.458310134121738840e+06 1.359144773122189065e+01 5.428681023790647014e-02
2.458310144747825805e+06 1.357406418967023853e+01 5.428681023790647014e-02
2.458310155373912770e+06 1.355639833613786571e+01 5.428681023790647014e-02
2.458310165999999736e+06 1.353844128796686164e+01 5.428681023790647014e-02
2.458310176626086701e+06 1.352018375269201478e+01 5.428681023790647014e-02
2.458310187252173666e+06 1.350161600373852977e+01 5.428681023790647014e-02
2.458310197878260631e+06 1.348272785442654609e+01 5.428681023790647014e-02
2.458310208504347596e+06 1.346350863015700128e+01 5.428681023790647014e-02
2.458310219130434562e+06 1.344394713864563862e+01 5.428681023790647014e-02
2.458310229756521527e+06 1.342403163806417865e+01 5.428681023790647014e-02
2.458310240382608492e+06 1.340374980294044605e+01 5.428681023790647014e-02
2.458310251008695457e+06 1.338308868766280746e+01 5.428681023790647014e-02
2.458310261634782422e+06 1.336203468742894174e+01 5.428681023790647014e-02
2.458310272260869388e+06 1.334057349647577695e+01 5.428681023790647014e-02
2.458310282886956353e+06 1.331869006342682482e+01 5.428681023790647014e-02
2.458310293513043318e+06 1.329636854359665854e+01 5.428681023790647014e-02
2.458310304139130283e+06 1.327359224810116878e+01 5.428681023790647014e-02
2.458310314765217248e+06 1.325034358963876002e+01 5.428681023790647014e-02
2.458310325391304214e+06 1.322660402483432307e+01 5.428681023790647014e-02
2.458310336017391179e+06 1.320235399307837731e+01 5.428681023790648402e-02
2.458310346643478144e+06 1.317757285185282790e+01 5.428681023790647014e-02
2.458310357269565109e+06 1.315223880861850958e+01 5.428681023790647014e-02
2.458310367895652074e+06 1.312632884945650957e+01 5.428681023790647014e-02
2.458310378521739040e+06 1.309981866481583701e+01 5.428681023790647014e-02
2.458310389147826005e+06 1.307268257293894820e+01 5.428681023790647014e-02
2.458310399773912970e+06 1.304489344183304311e+01 5.428681023790647014e-02
2.458310410399999935e+06 1.301642261105432752e+01 5.428681023790648402e-02
2.458310421026086900e+06 1.298723981510863013e+01 5.428681023790647014e-02
2.458310431652173866e+06 1.295731311098995775e+01 5.428681023790647014e-02
2.458310442278260831e+06 1.292660881333927136e+01 5.428681023790647014e-02
2.458310452904347796e+06 1.289509144198975932e+01 5.428681023790647014e-02
2.458310463530434761e+06 1.286272368838055868e+01 5.428681023790648402e-02
