#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458158697286762297e+06 1.941615181876936091e+01 1.085736204758129542e-02
2.458158803228742909e+06 1.941615139145055124e+01 1.085736204758129542e-02
2.458158909170723520e+06 1.941615096267742757e+01 1.085736204758129542e-02
2.458159015112704132e+06 1.941615053244407463e+01 1.085736204758129542e-02
2.458159121054684743e+06 1.941615010074454872e+01 1.085736204758129542e-02
2.458159226996665355e+06 1.941614966757287064e+01 1.085736204758129542e-02
2.458159332938645966e+06 1.941614923292303985e+01 1.085736204758129542e-02
2.458159438880626578e+06 1.941614879678902028e+01 1.085736204758129542e-02
2.458159544822607655e+06 1.941614835916475812e+01 1.085736204758129542e-02
2.458159650764588267e+06 1.941614792004416756e+01 1.085736204758129542e-02
2.458159756706568878e+06 1.941614747942112018e+01 1.085736204758129542e-02
2.458159862648549490e+06 1.941614703728948044e+01 1.085736204758129542e-02
2.458159968590530101e+06 1.941614659364306661e+01 1.085736204758129542e-02
2.458160074532510713e+06 1.941614614847567566e+01 1.085736204758129542e-02
2.458160180474491324e+06 1.941614570178106902e+01 1.085736204758129542e-02
2.458160286416471936e+06 1.941614525355298682e+01 1.085736204758129542e-02
2.458160392358452547e+06 1.941614480378513363e+01 1.085736204758129542e-02
2.458160498300433159e+06 1.941614435247118209e+01 1.085736204758129542e-02
2.458160604242414236e+06 1.941614389960477993e+01 1.085736204758129542e-02
2.458160710184394848e+06 1.941614344517954294e+01 1.085736204758129542e-02
2.458160816126375459e+06 1.941614298918905490e+01 1.085736204758129542e-02
2.458160922068356071e+06 1.941614253162687120e+01 1.085736204758129542e-02
2.458161028010336682e+06 1.941614207248651169e+01 1.085736204758129542e-02
2.458161133952317294e+06 1.941614161176146780e+01 1.085736204758129542e-02
2.458161239894297905e+06 1.941614114944520608e+01 1.085736204758129542e-02
2.458161345836278517e+06 1.941614068553115047e+01 1.085736204758129542e-02
2.458161451778259128e+06 1.941614022001270001e+01 1.085736204758129542e-02
2.458161557720239740e+06 1.941613975288322180e+01 1.085736204758129542e-02
2.458161663662220817e+06 1.941613928413604739e+01 1.085736204758129542e-02
2.458161769604201429e+06 1.941613881376448347e+01 1.085736204758129542e-02
2.458161875546182040e+06 1.941613834176179765e+01 1.085736204758129542e-02
2.458161981488162652e+06 1.941613786812122555e+01 1.085736204758129542e-02
2.458162087430143263e+06 1.941613739283597795e+01 1.085736204758129542e-02
2.458162193372123875e+06 1.941613691589922297e+01 1.085736204758129542e-02
2.458162299314104486e+06 1.941613643730409677e+01 1.085736204758129542e-02
2.458162405256085098e+06 1.941613595704371420e+01 1.085736204758129542e-02
2.458162511198065709e+06 1.941613547511113680e+01 1.085736204758129542e-02
